countries,year,total_population,id,sigle_paesi
Denmark,2023,"5.947,99",268,DK
Germany,2023,"84.514,00",269,DE
Estonia,2023,"1.365,88",270,EE
Ireland,2023,"5.295,87",271,IE
Greece,2023,"10.548,14",272,EL
Spain,2023,"48.382,51",273,ES
France,2023,"68.287,50",274,FR
Croatia,2023,"3.942,32",275,HR
Italy,2023,"58.984,20",276,IT
Cyprus,2023,"927,11",277,CY
Latvia,2023,"1.881,54",278,LV
Lithuania,2023,"2.871,59",279,LT
Luxembourg,2023,"667,76",280,LU
Hungary,2023,"9.592,19",281,HU
Malta,2023,"553,58",282,MT
Netherlands,2023,"17.877,00",283,NL
Austria,2023,"9.130,73",284,AT
Poland,2023,"37.630,45",285,PL
Portugal,2023,"10.578,17",286,PT
Romania,2023,"19.063,66",287,RO
Slovenia,2023,"2.120,54",288,SI
Slovakia,2023,"5.457,49",289,SK
Finland,2023,"5.577,40",290,FI
Sweden,2023,"10.599,41",291,SE
Iceland,2023,"379,50",292,IS
Liechtenstein,2023,"40,99",293,LI
Norway,2023,"5.520,00",294,NO
Switzerland,2023,"8.915,29",295,CH
United Kingdom,2023,:,296,UK
Serbia,2023,"6.623,18",297,RS
